transaction_id,customer_id,item_purchased,category,organization_id,price,payment_mode,purchase_date
ab0081a6-b058-4674-ad96-be24d374f1ea,CUSTID_477,hope,Healthcare,ORGID_13,632.56,Net Banking,2020-09-21
53ac08b2-134a-4cf2-b68e-0b90d984082a,CUSTID_729,sell,Furniture,ORGID_77,994.74,Debit Card,2022-12-16
6c65cefb-76af-407e-9f22-989ce7b9ba44,CUSTID_636,perhaps,Finance,ORGID_32,445.53,PayPal,2020-04-19
a59c1f45-912c-436c-8e90-5232dc495c4e,CUSTID_934,look,Clothing,ORGID_1,64.53,Debit Card,2020-06-28
0bd1bcc0-28e8-44ce-affc-02177b35e00a,CUSTID_425,history,Entertainment,ORGID_175,194.6,Debit Card,2024-12-06
601fdcb4-e747-400f-9254-2018ff22a6bd,CUSTID_939,list,Entertainment,ORGID_120,29.85,Debit Card,2020-07-11
3b35e04b-9c14-4945-bd5f-2bf51d992fe3,CUSTID_753,despite,Electronics,ORGID_112,384.93,PayPal,2021-05-10
77078ebf-af5e-4f5f-a015-5829d48b44b7,CUSTID_144,son,Clothing,ORGID_147,987.43,Net Banking,2022-03-21
f06d3f5d-c215-4322-9484-ecc7989a3cc5,CUSTID_859,ask,Software,ORGID_4,511.3,Credit Card,2021-10-15
4f33412c-0938-40df-8705-6fb3c7a9beee,CUSTID_126,I,Electronics,ORGID_61,554.47,Credit Card,2020-04-06
16e0f00f-9930-4135-8f32-13cc6e6015b1,CUSTID_392,church,Healthcare,ORGID_96,173.12,PayPal,2021-06-10
9ed98834-ddc6-4dd0-a53c-585d15bf78a8,CUSTID_569,end,Electronics,ORGID_35,313.45,Net Banking,2022-04-13
081f536b-1720-4c3f-a3cc-928d7f083232,CUSTID_847,research,Healthcare,ORGID_58,14.3,Credit Card,2024-10-25
68f6f2a1-b722-466b-886a-d0c382ef74fc,CUSTID_981,knowledge,Electronics,ORGID_135,520.62,Credit Card,2022-08-12
19562d62-9075-46b6-ac40-c74658ad6b28,CUSTID_123,physical,Fashion,ORGID_52,756.13,Debit Card,2020-06-12
f3968888-b188-4f6e-b2bc-bb12aef16cbb,CUSTID_356,clearly,Electronics,ORGID_34,793.06,Credit Card,2021-02-21
69177bf5-031f-420d-b205-209738e43657,CUSTID_950,mother,Books,ORGID_180,475.87,Net Banking,2022-08-18
126dac44-7445-41b9-a463-e3566396c1fd,CUSTID_348,involve,Books,ORGID_199,998.54,Net Banking,2023-05-19
1b4eeb4a-533e-466e-a805-066634e17dec,CUSTID_888,car,Clothing,ORGID_6,236.3,Net Banking,2023-05-28
a9f3d6a9-ca9f-47c9-b297-02475cb0db86,CUSTID_953,understand,Fashion,ORGID_52,691.39,Debit Card,2020-10-21
637247b9-5984-4a5b-a042-c1f3cc326a61,CUSTID_698,amount,Clothing,ORGID_100,224.06,Debit Card,2020-10-31
853c03cf-b163-4f45-ac21-1876acab006d,CUSTID_431,early,Healthcare,ORGID_96,963.49,Debit Card,2022-03-03
01f28284-12db-4677-a282-afd98d3fa3de,CUSTID_969,turn,Books,ORGID_174,847.5,Credit Card,2021-04-09
1bda950e-b6d9-4370-8d4d-5e773b16ba87,CUSTID_199,finally,Healthcare,ORGID_67,423.42,PayPal,2024-03-14
4b460f24-5057-4426-a074-7f242cb6f76f,CUSTID_162,stop,Healthcare,ORGID_25,758.77,Credit Card,2020-03-21
38abd38b-9f76-47ab-af8b-53e2f2aa5285,CUSTID_356,return,Entertainment,ORGID_113,388.9,Net Banking,2021-06-02
8558c259-badb-4d7f-8a9b-18aa778c6e1d,CUSTID_594,yeah,Furniture,ORGID_22,180.15,Credit Card,2020-08-30
1645e3aa-8607-49d8-b41f-454bb220730e,CUSTID_534,from,Software,ORGID_116,751.41,Net Banking,2022-08-18
8b40d67f-6bef-483e-9e3a-474d8085b6cc,CUSTID_62,wind,Healthcare,ORGID_113,482.74,Net Banking,2021-10-19
5f1b80fd-7e8b-4db0-b94e-2d67fb042442,CUSTID_18,week,Furniture,ORGID_121,782.97,Credit Card,2020-04-17
b924999e-2b4e-4763-ad35-69c59b8a248a,CUSTID_30,carry,Software,ORGID_23,237.49,Credit Card,2024-08-08
a4067463-a48b-4bef-85ec-7a6c9ab7c58f,CUSTID_563,bar,Software,ORGID_75,793.32,Debit Card,2023-03-31
16d82308-9c8f-4249-a6d2-f344db044a4f,CUSTID_901,fast,Books,ORGID_195,358.57,Credit Card,2020-02-27
a841293e-b2c1-4738-a56f-9779a90a495d,CUSTID_915,prove,Software,ORGID_154,251.24,Debit Card,2021-05-24
9cd639bf-4e4b-432c-8ac7-d206ed5eb4c1,CUSTID_87,modern,Entertainment,ORGID_153,391.48,Credit Card,2022-05-25
8e99ee2f-3159-433e-88bc-fdc6870d9cc0,CUSTID_352,source,Fashion,ORGID_120,338.63,Debit Card,2023-12-02
ea19da22-585b-4b84-af8b-aab9a4cbfd3f,CUSTID_979,often,Finance,ORGID_129,575.65,Net Banking,2023-06-01
